ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Mario  Vicini,Italy,736,155.3,14,1561,1543,627,2288,190,0,7,3,0,4,0,12,0,11,0
Eulalio  García,Spain,737,154.9,9,475,1652,1712,1759,35,35,26,21,3,2,5,11,0,1,0
José Luis  Viejo,Spain,738,154.6,12,537,1621,1811,2816,296,354,22,17,2,3,2,14,0,0,0
Julien  Vervaecke,Belgium,739,154.4,11,1936,1656,0,2432,674,0,6,2,0,4,0,6,0,12,1
Damiano  Caruso,Italy,740,154.5,18,835,4523,1310,636,4230,1576,7,5,1,1,0,19,0,28,0
Luis  Otaño,Spain,741,154.4,12,796,3001,2112,2270,292,234,14,12,0,2,2,18,0,9,0
Ad  Wijnands,Netherlands,742,154.2,16,1998,599,205,2816,186,257,19,11,2,6,0,6,0,9,0
Jai  Hindley,Australia,743,154.1,9,358,3082,152,122,2828,724,9,6,3,0,0,8,1,7,0
Sergio  Barbero,Italy,744,153.9,17,3100,390,14,1496,210,28,11,2,0,9,0,12,0,21,0
Mikel  Zarrabeitia,Spain,745,153.6,13,871,3834,1700,1265,834,458,9,4,2,3,1,11,0,12,0
Émile  Idée,France,746,153.7,11,2175,40,308,1572,134,204,13,2,0,11,0,4,0,6,0
Pascal  Simon,France,747,153.5,14,1365,4559,1963,1661,1252,218,10,6,2,2,1,13,0,15,0
André  Rosseel,Belgium,748,153.3,11,2420,838,144,2418,326,342,14,10,3,1,0,5,0,21,0
Dag Erik  Pedersen,Norway,749,153.4,13,2072,1278,580,2114,228,10,17,12,3,2,1,6,0,11,0
Louis  Rostollan,France,750,153.4,11,769,2170,425,1195,264,102,11,3,4,4,1,11,0,3,0
Bo  Hamburger,Denmark,751,152.5,16,3048,2464,389,2558,1084,974,10,8,0,2,0,16,0,29,0
Raimondas  Rumšas,Lithuania,752,152.1,12,1082,2015,1599,921,994,376,12,6,1,5,5,3,0,8,1
László  Bodrogi,France,753,152.1,18,717,1025,5454,688,54,180,25,7,3,15,17,7,0,16,0
Søren Kragh Andersen,Denmark,754,151.8,12,1492,1316,1829,738,384,1335,9,7,0,2,2,7,0,24,0
Pedro  Torres,Spain,755,152.0,10,832,4211,2349,2330,979,266,5,4,0,1,2,15,0,1,0
Igor  Astarloa,Spain,756,151.9,10,2508,527,149,1552,413,231,9,4,1,4,0,7,0,17,0
Vasco  Bergamaschi,Italy,757,151.8,13,1661,855,564,2701,254,0,8,4,1,3,0,11,1,12,0
Björn  Leukemans,Belgium,758,151.3,16,4055,954,11,3196,338,464,13,6,1,6,0,4,0,33,0
Alexandr  Kolobnev,Russia,759,150.9,16,3934,1272,22,1120,1186,531,7,4,0,3,0,12,0,26,0
Enrique  Martinez,Spain,760,150.6,11,549,1816,829,2672,181,136,23,16,2,5,0,12,0,1,0
Luca  Mazzanti,Italy,761,150.7,18,4443,973,7,2569,857,182,9,4,0,5,0,14,0,39,0
Paul  Maye,France,762,150.5,9,1465,36,78,1391,38,0,11,2,0,9,0,6,0,2,1
Willy Van Neste,Belgium,763,150.5,12,2165,1950,342,2385,732,427,9,6,1,2,0,10,0,4,0
Edward Van Dijck,Belgium,764,150.4,12,1894,737,362,1820,404,190,10,7,1,2,2,3,1,10,0
Niki  Rüttimann,Switzerland,765,150.0,9,1005,2365,623,1428,717,155,10,6,3,1,0,8,0,12,0
Vladimir  Karpets,Russia,766,150.0,14,393,3833,2872,540,817,438,7,3,3,1,2,17,0,2,0
Stephan  Joho,Switzerland,767,149.9,8,967,423,714,2756,35,0,25,20,1,4,2,4,0,7,0
Sergio  Henao,Colombia,768,149.7,17,1621,3572,561,482,3050,1569,8,5,1,2,1,14,0,13,0
Rudy  Pevenage,Belgium,769,149.7,13,2669,834,200,2900,545,531,5,2,0,3,0,10,0,14,0
Ricardo  Montero,Spain,770,149.5,10,971,1044,0,1180,38,140,22,10,4,8,0,0,0,0,0
Gilles  Delion,France,771,149.5,8,2454,1115,52,1277,538,284,7,2,0,5,0,5,0,14,1
René  Pottier,France,772,149.1,2,560,500,0,275,658,0,7,5,1,1,0,2,1,2,0
Thomas  Wegmuller,Switzerland,773,149.0,8,2201,535,1116,1379,218,157,13,5,0,8,1,5,0,18,0
David  Gaudu,France,774,148.8,9,1679,2741,142,35,3610,1090,10,8,0,2,0,8,0,9,0
Luka  Mezgec,Slovenia,775,148.9,15,1583,628,33,2979,238,2207,19,16,0,3,0,15,0,20,0
Ryder  Hesjedal,Canada,776,149.0,15,1726,2571,826,526,2887,935,5,3,1,1,1,17,1,18,0
Fabio  Felline,Italy,777,148.8,16,1772,1457,1243,1008,1293,1284,14,8,1,5,2,15,0,24,0
Oliverio  Rincón,Colombia,778,148.5,9,447,2303,705,1027,1280,133,12,10,1,1,1,10,0,0,0
Thomas De Gendt,Belgium,779,148.2,18,248,1287,2230,467,1632,1388,17,17,0,0,0,24,0,17,0
Giovanni  Rossignoli,Italy,780,148.2,20,1631,1975,0,2144,382,0,7,3,0,4,0,19,0,13,0
Martin Van Den Bossche,Belgium,781,148.1,12,2135,1484,709,2101,1122,142,5,2,0,3,1,10,0,10,0
Alessandro  Fantini,Italy,782,148.1,7,1121,734,122,2891,194,75,14,13,0,1,0,9,0,10,0
Ethan  Hayter,Great Britain,783,148.1,8,635,1297,1141,312,702,1472,19,13,2,4,3,1,0,4,0
Raymond  Louviot,France,784,147.8,16,1534,923,149,2799,9,0,17,7,1,9,1,4,0,2,0
Fausto  Bertoglio,Italy,785,147.7,9,464,2138,1690,886,468,96,10,6,3,1,4,9,1,4,0
José  Serra,Spain,786,147.4,13,300,2590,426,2240,308,210,13,10,1,2,3,13,0,0,0
Hortensio  Vidaurreta,Spain,787,147.5,12,1592,344,41,2227,10,0,21,9,1,11,0,8,0,0,0
Sean  Yates,Great Britain,788,147.2,17,1343,1198,2935,1727,64,355,20,14,1,5,7,17,0,26,0
Romain  Gijssels,Belgium,789,146.9,7,2167,100,22,1362,30,45,7,2,0,5,0,2,0,7,3
André  Declerck,Belgium,790,147.0,13,3210,57,0,2272,122,0,11,3,0,8,0,1,0,13,0
Dirk De Wolf,Belgium,791,146.6,13,2707,461,73,1398,193,146,10,5,1,4,0,8,0,20,1
Warren  Barguil,France,792,146.7,14,2610,2946,100,278,3844,1866,8,5,1,2,0,15,0,20,0
Emanuele  Sella,Italy,793,146.6,13,1457,1567,269,1028,1396,250,13,8,2,3,1,9,0,13,0
Mattias  Skjelmose,Denmark,794,146.4,5,1031,1885,930,118,1712,1158,11,6,2,3,2,2,0,4,0
Ilnur  Zakarin,Russia,795,146.2,11,416,3286,1200,172,2870,755,8,4,2,2,2,11,0,7,0
Pieter  Weening,Netherlands,796,145.8,20,807,2801,405,569,1158,706,13,10,2,1,0,16,0,22,0
Brandon  McNulty,United States,797,145.9,8,869,2033,1885,54,1684,876,13,6,2,5,4,5,0,4,0
Rik  Verbrugghe,Belgium,798,145.6,13,1293,1254,2388,841,541,576,14,10,1,3,6,16,0,17,0
Antonio  Negrini,Italy,799,145.7,13,1914,1050,0,1920,393,0,7,2,1,4,0,8,0,16,1
Jean  Goldschmit,Luxembourg,800,145.2,9,117,2206,867,1364,500,542,19,15,2,2,1,8,0,3,0
Arnaldo  Pambianco,Italy,801,145.2,9,1199,1956,534,1588,595,314,5,1,2,2,0,13,1,11,0
Graziano  Battistini,Italy,802,145.3,10,1583,2127,692,2251,854,278,6,5,0,1,0,14,0,15,0
Timothy  Dupont,Belgium,803,145.2,15,3594,204,3,5464,17,355,12,8,0,4,0,1,0,5,0
Giacinto  Santambrogio,Italy,804,145.1,12,1412,791,175,1604,432,352,11,6,1,4,0,15,0,8,0
Sven-Åke  Nilsson,Sweden,805,144.9,13,1341,3210,691,1232,1312,222,10,5,3,2,0,8,0,9,0
Alfons  Deloor,Belgium,806,144.8,8,1449,1426,118,1692,228,0,6,2,0,4,0,4,0,9,1
José Enrique  Cima,Spain,807,144.8,7,418,1496,1923,1561,70,0,15,13,1,1,7,7,0,2,0
Giovanni  Corrieri,Italy,808,144.8,12,691,687,422,2342,162,256,14,12,1,1,0,16,0,7,0
Alfredo  Bovet,Italy,809,144.0,10,1600,790,214,1762,203,0,6,2,1,3,0,8,0,10,1
Niccolò  Bonifazio,Italy,810,144.1,12,1624,420,48,2409,96,1202,21,15,1,5,0,5,0,16,0
Ben  Swift,Great Britain,811,143.7,18,1896,935,87,2862,533,1588,15,12,1,2,0,10,0,21,0
Giuliano  Figueras,Italy,812,143.7,12,2169,1043,106,1742,874,338,14,7,1,6,0,8,0,12,0
Fabio Enrique  Parra,Colombia,813,143.4,12,15,3234,1449,337,2644,214,9,7,1,1,2,15,0,0,0
Jeremy  Hunt,Great Britain,814,143.2,18,2194,472,142,3926,9,18,20,12,1,7,0,5,0,21,0
Imerio  Massignan,Italy,815,143.2,11,1768,2507,487,2148,1066,256,2,2,0,0,0,13,0,15,0
Marco  Pinotti,Italy,816,143.2,16,434,1944,4249,435,816,544,15,7,1,7,11,13,0,13,0
Alfio  Vandi,Italy,817,143.0,13,3324,2237,564,1926,710,23,7,1,0,6,2,14,0,21,0
Rolf  Aldag,Germany,818,143.1,17,2002,1518,1536,2378,390,365,21,16,2,3,0,17,0,49,0
Mariano  Martínez,France,819,142.8,11,791,3676,1112,1756,2948,802,9,9,0,0,0,12,0,4,0
Jean-Marie  Wampers,Belgium,820,142.9,12,3197,239,242,1889,86,51,9,1,0,8,0,4,0,22,1
Svein  Tuft,Canada,821,142.9,19,400,1015,2902,371,33,11,23,6,0,17,18,13,0,12,0
Jo de Haan,Netherlands,822,142.6,9,1745,533,164,2628,120,352,17,11,1,5,0,3,0,9,0
Luciano  Armani,Italy,823,142.6,9,1546,463,25,1623,127,160,12,5,1,6,0,9,0,4,0
Jonathan  Hivert,France,824,142.1,17,1771,1499,551,1302,571,776,17,10,3,4,0,4,0,12,0
Bernhard  Eisel,Austria,825,142.3,20,2277,1126,272,3245,102,521,16,12,0,4,0,19,0,47,0
Valère  Ollivier,Belgium,826,142.3,11,3123,133,0,2493,32,0,11,2,0,9,0,0,0,21,0
Steve  Cummings,Great Britain,827,141.8,16,641,1558,1620,406,696,355,17,11,2,4,2,13,0,25,0
Jean-Baptiste  Dortignacq,France,828,141.8,7,306,720,0,517,1078,0,9,8,0,1,0,7,0,2,0
Kenny  Dehaes,Belgium,829,141.7,16,2880,230,3,3738,12,14,14,5,0,9,0,2,0,11,0
Frans De Mulder,Belgium,830,141.5,6,1491,675,302,1882,115,18,12,8,1,3,1,3,1,8,0
Tao  Geoghegan Hart,Great Britain,831,141.0,11,261,2545,888,158,2052,586,9,7,2,0,0,7,1,9,0
José  Pesarrodona,Spain,832,141.1,9,234,3579,3154,1036,150,51,8,6,1,1,2,17,1,0,0
Léon  Georget,France,833,141.1,12,1772,220,0,1078,632,0,9,0,0,9,0,4,0,4,0
Jakob Storm  Piil,Denmark,834,140.8,12,1224,660,248,1566,232,271,15,5,3,7,0,5,0,7,0
Frans  Aerenhouts,Belgium,835,140.6,10,2856,650,159,2683,407,704,6,2,0,4,0,7,0,16,0
Guillaume  Martin,France,836,140.3,12,2279,3592,10,81,3684,1647,9,5,3,1,0,11,0,13,0
Jaime  Alomar,Spain,837,140.2,10,703,1153,162,2622,18,0,20,17,1,2,0,8,0,6,0
Uwe  Peschel,Germany,838,140.0,14,40,625,3966,145,29,65,20,10,2,8,15,5,0,2,0
José Antonio  Momeñe,Spain,839,140.0,9,1032,1541,507,2536,536,185,13,8,1,4,0,11,0,3,0
Gilbert  Glaus,Switzerland,840,139.8,15,1378,340,891,2170,158,266,20,15,0,5,6,7,0,5,0
Ángel Luis  Casero,Spain,841,139.9,12,443,2510,2873,520,1186,368,8,3,2,3,2,16,1,8,0
Gerard  Vianen,Netherlands,842,139.8,12,1320,603,427,3048,306,1050,19,16,0,3,0,10,0,6,0
Massimiliano  Lelli,Italy,843,139.8,16,1115,2560,1453,1679,728,562,16,10,2,4,3,23,0,17,0
Alain  Santy,France,844,139.2,7,1633,1291,549,1582,484,1,11,5,3,3,0,4,0,7,0
Manuel  Belletti,Italy,845,139.3,16,2041,185,64,3760,132,1106,19,15,1,3,0,10,0,11,0
Ambrogio Enrico  Morelli,Italy,846,139.2,9,548,2135,920,3346,208,0,7,4,0,3,1,14,0,5,0
Sergio  Higuita,Colombia,847,139.0,9,1069,2053,127,79,2278,1254,10,6,2,2,0,5,0,8,0
Óscar  Pereiro,Spain,848,138.8,11,485,2531,2121,613,1336,832,6,4,1,1,1,12,1,10,0
Bradley  McGee,Australia,849,138.8,11,274,1175,3928,1204,562,606,14,12,1,1,7,11,0,6,0
Riccardo  Riccò,Italy,850,138.6,8,990,1033,259,950,1312,396,15,12,1,2,0,4,0,5,0
Janez  Brajkovič,Slovenia,851,138.3,17,654,3820,2403,714,1183,420,7,2,3,2,3,11,0,11,0
Maurice  Desimpelaere,Belgium,852,138.4,8,2516,295,0,1610,45,0,8,0,2,6,0,0,0,11,1
Simon  Clarke,Australia,853,138.2,20,2396,1555,136,1453,1374,1706,7,4,1,2,0,19,0,31,0
Francesco  Masip,Spain,854,138.4,16,888,1830,462,2813,250,203,15,8,1,6,0,12,0,2,0
Phil  Bauhaus,Germany,855,138.1,12,807,251,1,2876,890,1569,22,20,1,1,0,6,0,4,0
Juan  Ayuso,Spain,856,137.9,4,786,1545,963,2,1654,585,7,4,1,2,3,3,0,0,0
Rudy  Matthijs,Belgium,857,137.6,6,1149,214,286,1781,170,240,19,13,0,6,1,3,0,3,0
Iván Ramiro  Sosa,Colombia,858,137.7,8,248,1586,1,7,1114,164,17,10,7,0,0,3,0,4,0
Giordano  Cottur,Italy,859,137.7,12,1518,1425,838,2280,660,216,6,5,0,1,0,10,0,16,0
Tom  Danielson,United States,860,137.5,14,65,3303,2185,279,1497,324,11,6,5,0,1,13,0,5,0
Eusebio  Vélez,Spain,861,137.3,10,1050,2307,1909,1533,44,10,10,4,1,5,2,15,0,2,0
Maurice  Diot,France,862,137.4,13,2345,78,51,1696,188,430,11,4,0,7,0,6,0,15,0
Lars  Michaelsen,Denmark,863,137.2,18,3543,491,1,4462,50,378,14,10,1,3,0,6,0,31,0
Marcello  Bergamo,Italy,864,137.2,14,2390,1127,148,2757,418,14,9,5,1,3,0,10,0,7,0
Claudio  Michelotto,Italy,865,136.9,9,1021,1095,325,1312,146,71,8,2,2,4,0,12,0,6,0
Louis  Pfenninger,Switzerland,866,136.9,11,936,2368,1470,1103,46,48,7,2,2,3,3,8,0,5,0
Albert  Sercu,Belgium,867,136.6,11,2740,168,42,2080,34,30,11,4,0,7,0,1,0,12,0
Gert-Jan  Theunisse,Netherlands,868,136.6,11,1841,2177,306,1282,1674,561,9,5,3,1,0,12,0,18,0
Wilfried  Peeters,Belgium,869,135.9,16,3588,713,90,2684,62,84,8,3,1,4,0,10,0,36,0
Yvon  Bertin,France,870,136.0,10,1148,666,379,3506,121,265,16,13,1,2,2,7,0,4,0
Gery  Verlinden,Belgium,871,135.9,10,2036,801,1272,2201,216,224,12,4,0,8,1,7,0,3,0
Frans Van Looy,Belgium,872,136.1,10,2463,222,154,3318,7,79,16,7,0,9,0,3,0,7,0
Alvaro  Mejia,Colombia,873,136.0,10,374,2700,1120,608,952,306,12,6,6,0,2,12,0,3,0
Michel Van Aerde,Belgium,874,135.4,11,2090,988,141,2946,551,532,10,7,1,2,1,10,0,19,0
Alberto  Bettiol,Italy,875,135.3,12,2421,876,962,281,955,2050,8,4,1,3,2,9,0,28,1
Arthur  Vichot,France,876,135.0,13,1729,1246,218,743,616,1024,14,5,4,5,0,8,0,14,0
Mark  Renshaw,Australia,877,134.7,18,1363,555,301,4348,14,155,11,8,1,2,0,17,0,18,0
Servais  Knaven,Netherlands,878,134.9,20,1907,1542,2210,1724,41,172,12,6,2,4,1,14,0,35,1
Émile  Masson,Belgium,879,134.2,9,1596,1061,0,1770,771,0,11,7,2,2,0,7,0,12,0
Enrico  Mollo,Italy,880,134.3,9,1544,1079,151,1568,348,0,5,0,1,4,0,6,0,8,1
Luigi Natale  Lucotti,Italy,881,134.4,12,1385,915,46,1686,734,0,4,4,0,0,0,8,0,13,0
Giulio  Rossi,Italy,882,134.1,10,1618,157,347,1380,0,0,7,1,1,5,1,0,0,3,1
Serge  Demierre,Switzerland,883,133.8,14,765,728,861,1495,76,211,13,10,1,2,2,9,0,5,0
Marco  Saligari,Italy,884,133.7,13,1256,1038,534,1743,158,70,12,7,1,4,0,11,0,16,0
Raymond  Mastrotto,France,885,133.6,10,537,2586,851,1237,452,292,5,4,1,0,0,8,0,8,0
Valentin  Uriona,Spain,886,133.5,7,486,1751,1616,1229,303,78,15,12,2,1,2,10,0,7,0
Gustav Erik  Larsson,Sweden,887,133.5,16,416,2197,5173,322,200,216,15,6,2,7,13,8,0,24,0
Dino  Bruni,Italy,888,133.1,9,1676,173,42,2188,272,130,13,9,0,4,0,10,0,11,0
Joseph  Somers,Belgium,889,133.4,13,1580,299,366,1274,170,0,17,9,1,7,4,0,0,6,0
Eddy  Vanhaerens,Belgium,890,133.1,13,1998,174,0,3432,14,28,15,12,0,3,0,5,0,1,0
Lieuwe  Westra,Netherlands,891,132.9,11,384,1597,2720,644,352,431,13,7,3,3,4,7,0,11,0
Marco  Giovannetti,Italy,892,132.6,10,1250,2960,923,1135,646,184,4,2,1,1,0,18,1,9,0
Jean-Claude  Colotti,France,893,132.4,10,1969,1005,1250,2590,132,980,10,8,0,2,1,12,0,17,0
Luke  Durbridge,Australia,894,132.5,15,863,1296,2367,209,62,364,14,5,2,7,10,15,0,27,0
José Manuel  López Rodríguez,Spain,895,132.3,9,969,1580,1280,3090,400,383,14,10,2,2,0,13,0,2,0
Sandy  Casar,France,896,132.0,14,842,3028,1214,1228,1783,422,8,6,1,1,0,18,0,7,0
Jesús  Montoya,Spain,897,131.8,11,395,2203,1647,602,886,492,10,6,1,3,1,15,0,4,0
Pablo  Lastras,Spain,898,131.4,17,1258,1511,237,992,839,974,11,8,2,1,0,17,0,32,0
Ugo  Colombo,Italy,899,131.4,11,1126,1909,406,2004,272,12,10,7,0,3,1,14,0,7,0
Ezio  Corlaita,Italy,900,131.2,12,1716,739,0,1294,146,0,6,3,0,3,0,6,0,12,1
Benny Van Brabant,Belgium,901,131.0,12,1326,498,343,4208,828,810,16,14,0,2,0,11,0,8,0
José Bento  Azevedo,Portugal,902,131.1,15,244,3086,1756,653,844,259,14,9,2,3,7,11,0,7,0
Edgard De Caluwé,Belgium,903,130.5,11,2034,382,122,2050,55,0,9,5,0,4,0,3,0,9,1
Jörg  Jaksche,Germany,904,130.6,12,618,2965,1655,592,722,103,5,2,3,0,1,11,0,16,0
Osvaldo  Bailo,Italy,905,130.3,12,3063,56,0,1418,534,0,5,0,0,5,0,2,0,17,0
Giulio  Ciccone,Italy,906,130.3,11,1116,1523,90,116,3228,904,10,8,0,2,0,12,0,9,0
Marco  Marcato,Italy,907,130.1,17,3321,1701,156,3353,428,785,5,3,0,2,0,12,0,35,0
Victor  Campenaerts,Belgium,908,130.0,12,768,916,3315,333,355,730,12,6,0,6,7,10,0,9,0
Massimo  Donati,Italy,909,130.1,12,2757,844,146,1368,267,8,8,3,0,5,0,11,0,7,0
Pietro  Linari,Italy,910,129.6,7,1786,0,50,1244,234,0,5,2,0,3,0,4,0,8,1
Peter  Velits,Slovakia,911,129.3,13,956,1575,1511,892,920,962,7,1,1,5,4,8,0,14,0
Marcel  Ernzer,Luxembourg,912,129.3,13,1289,1556,339,1633,360,194,16,9,3,4,1,17,0,10,1
Roberto  Petito,Italy,913,128.8,18,1693,1367,1039,1526,256,113,8,3,3,2,1,9,0,29,0
Borut  Božič,Slovenia,914,128.5,16,1829,763,231,3876,92,604,19,16,1,2,0,7,0,24,0
Gustave Van Slembrouck,Belgium,915,128.4,8,1773,188,34,1657,366,0,4,4,0,0,0,3,0,7,0
Kaden  Groves,Australia,916,128.3,8,421,226,357,1316,59,1343,16,15,0,1,1,4,0,2,0
Leif  Mortensen,Denmark,917,128.3,6,1702,1616,1964,1250,727,336,7,5,1,1,3,5,0,13,0
Marcel  Hendrickx,Belgium,918,128.4,12,2108,453,126,2113,46,249,8,0,1,7,0,4,0,9,0
Davide  Boifava,Italy,919,128.2,11,1221,1231,806,1136,134,0,7,3,2,2,2,9,0,9,0
Juan Miguel  Mercado,Spain,920,128.3,10,308,1658,387,680,993,149,13,9,4,0,0,8,0,9,0
Haimar  Zubeldia,Spain,921,128.2,20,1008,5308,1775,688,2781,622,4,2,2,0,2,29,0,13,0
Carlos  Betancur,Colombia,922,128.0,11,1214,1583,285,408,1590,712,12,7,2,3,0,9,0,18,0
Juan Sebastián  Molano,Colombia,923,127.9,10,832,284,0,1805,78,843,24,21,1,2,0,9,0,3,0
Gabriele  Missaglia,Italy,924,127.8,15,2391,987,380,2306,266,196,7,4,2,1,0,10,0,24,0
Bruno  Wojtinek,France,925,127.6,6,1215,360,642,2396,93,125,22,18,1,3,3,2,0,7,0
Eric De Vlaeminck,Belgium,926,127.4,7,1843,384,169,1627,218,228,12,5,2,5,1,4,0,8,0
Jens  Debusschere,Belgium,927,127.3,14,2284,522,65,2746,50,328,15,7,1,7,0,8,0,21,0
Alfredo  Martini,Italy,928,127.0,16,2715,1589,112,2096,516,59,4,2,0,2,0,15,0,24,0
Georges  Vandenberghe,Belgium,929,127.1,11,1874,551,40,3052,989,1222,9,7,0,2,0,12,0,10,0
Silvio  Martinello,Italy,930,127.1,17,1058,410,220,3776,160,938,15,13,1,1,0,17,0,12,0
Jan  Adriaensens,Belgium,931,126.8,10,1046,2834,1262,1512,772,103,8,4,2,2,1,13,0,15,0
Claudio  Corti,Italy,932,126.3,13,3118,604,130,1524,304,58,10,1,1,8,0,14,0,15,0
Klaus-Peter  Thaler,Germany,933,126.3,9,937,871,802,3357,574,827,14,13,1,0,0,7,0,7,0
Pavel  Sivakov,France,934,126.3,9,852,2130,500,83,1647,526,6,2,3,1,0,9,0,4,0
Guy  Ignolin,France,935,126.3,9,567,663,182,1254,362,297,17,11,2,4,1,8,0,0,0
Olaf  Pollack,Germany,936,126.2,13,633,539,1201,3239,33,353,21,19,1,1,0,4,0,9,0
Valentin  Madouas,France,937,126.2,9,3054,1139,93,146,1600,1650,7,2,0,5,0,6,0,15,0
Antonio  Martín,Spain,938,125.9,11,246,1309,864,3252,0,0,14,12,2,0,0,5,0,0,0
Pascal  Lance,France,939,125.9,13,275,1234,2417,458,20,87,16,8,2,6,10,8,0,2,0
David  Blanco,Spain,940,125.9,11,171,1738,1205,786,566,44,14,8,6,0,2,4,0,1,0
Éric  Boyer,France,941,125.6,12,544,2212,362,1472,636,45,10,7,2,1,0,12,0,8,0
Allan  Peiper,Australia,942,125.3,11,1192,1113,2646,1623,48,176,21,16,2,3,7,11,0,14,0
Bert  Grabsch,Germany,943,125.2,17,613,1081,4217,820,153,346,17,10,1,6,10,14,0,21,0
Gustaaf  Danneels,Belgium,944,125.1,6,1387,140,220,1416,80,80,8,4,0,4,1,3,0,2,0
Felipe  Yáñez,Spain,945,125.1,12,374,1406,330,916,157,125,17,13,2,2,1,11,0,1,0
Nicolas  Roche,Ireland,946,125.1,18,1352,3473,672,1231,3660,2294,12,7,1,4,2,24,0,18,0
Giuseppe  Martinelli,Italy,947,124.8,12,1502,246,60,3304,132,0,7,5,0,2,1,10,0,6,0
Xavier  Tondo,Spain,948,124.7,10,307,1879,773,572,632,78,13,8,4,1,3,3,0,2,0
Tino  Conti,Italy,949,124.5,11,2264,849,198,1856,390,36,6,1,0,5,0,7,0,7,0
Peter  Winnen,Netherlands,950,124.3,12,579,3554,905,836,1618,495,6,5,0,1,0,14,0,5,0
Floyd  Landis,United States,951,124.3,10,94,1791,2335,266,735,178,10,5,5,0,4,8,0,8,0
Gianni  Moscon,Italy,952,123.8,11,1901,937,606,440,822,760,11,4,2,5,2,8,0,25,0
Gregory  Henderson,New Zealand,953,123.9,19,828,679,719,3138,79,197,17,12,0,5,1,11,0,8,0
Mariano  Piccoli,Italy,954,123.7,14,594,749,274,2684,374,627,9,8,0,1,0,22,0,11,0
Marco António  Chagas,Portugal,955,123.6,15,44,1144,1082,950,8,14,34,28,4,2,12,3,0,0,0
Thomas  Pidcock,Great Britain,956,123.5,7,2217,841,137,322,1524,1448,6,3,0,3,0,4,0,10,0
Pierre  Bazzo,France,957,123.5,10,1382,2205,319,1731,583,296,9,4,0,5,0,10,0,6,0
Raoul  Rémy,France,958,123.5,12,1649,635,93,2076,508,602,13,8,0,5,0,12,0,13,0
Martín  Mancisidor,Spain,959,123.2,9,1353,403,116,1575,20,0,12,1,2,9,1,3,0,0,0
Mariano  Díaz,Spain,960,123.3,6,207,1576,672,1088,230,50,9,5,4,0,0,7,0,0,0
Santiago  Lazcano,Spain,961,122.9,8,985,2116,281,1430,244,35,12,6,2,4,0,13,0,5,0
Ben  O'Connor,Australia,962,123.0,10,428,2992,550,46,2532,731,9,7,0,2,0,9,0,5,0
Alfred  Ruegg,Switzerland,963,123.0,9,944,1286,688,1439,240,134,10,6,1,3,1,6,0,3,0
Paul  Deman,Belgium,964,122.8,11,1832,405,0,1036,410,0,5,0,0,5,0,4,0,12,2
Adelin  Benoît,Belgium,965,122.8,4,862,850,0,1569,532,0,6,4,1,1,0,4,0,5,0
Fernand  Picot,France,966,122.7,13,1197,967,2,2156,357,129,13,8,1,4,0,9,0,7,0
Massimo  Strazzer,Italy,967,122.7,15,728,144,687,3526,37,352,25,22,0,3,1,12,0,9,0
Paul  Wellens,Belgium,968,122.5,11,467,1927,1073,940,1158,177,5,4,1,0,0,13,0,3,0
Eddy  Seigneur,France,969,122.4,15,716,1165,2651,1022,76,0,17,9,2,6,10,12,0,11,0
Karel  De Baere,Belgium,970,122.4,13,2697,142,0,2453,19,0,9,0,0,9,0,0,0,8,0
René  Pijnen,Netherlands,971,121.9,9,746,838,1584,1732,8,20,14,11,2,1,5,5,0,4,0
Sepp  Kuss,United States,972,121.8,9,188,2292,300,42,3060,530,10,8,2,0,0,12,1,2,0
Henri  Cornet,France,973,121.5,9,1203,1144,0,788,1086,0,3,1,1,1,0,8,1,6,1
Rudy  Dhaenens,Belgium,974,121.2,11,3088,597,116,1818,265,474,5,3,0,2,0,10,0,26,0
Beñat  Intxausti,Spain,975,120.9,13,349,2139,752,151,1436,518,6,4,2,0,1,10,0,5,0
Luigi  Casola,Italy,976,120.9,9,1350,101,0,1594,152,0,10,4,0,6,0,8,0,7,0
Alfred  Haemerlinck,Belgium,977,120.5,8,1902,286,0,1618,28,110,13,6,1,6,0,1,0,5,0
Alexandre  Geniez,France,978,120.7,13,538,1740,767,254,1168,473,17,12,2,3,2,14,0,9,0
Robert  Hagmann,Switzerland,979,120.5,7,751,1077,779,931,2,0,10,8,0,2,4,1,0,2,0
Edward  Theuns,Belgium,980,120.3,14,2558,656,131,2928,26,996,9,6,0,3,0,9,0,23,0
Giuseppe  Pancera,Italy,981,120.2,10,1187,1819,0,2260,407,0,5,4,0,1,0,12,0,9,0
Raymond  Martin,France,982,119.9,12,1010,2688,580,1148,1480,212,10,5,0,5,1,11,0,4,0
Cleto  Maule,Italy,983,119.8,7,1921,548,596,1891,368,36,7,2,0,5,0,7,0,12,1
Maurice  Blomme,Belgium,984,119.9,11,2081,328,390,2176,46,100,11,3,0,8,1,2,0,13,0
Vito  Ortelli,Italy,985,120.0,11,1758,612,30,1242,202,55,7,1,0,6,0,4,0,8,0
Paul  Duboc,France,986,119.7,13,635,1200,0,958,1506,0,7,6,1,0,0,10,0,9,0
