ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Laurent  Dufaux,Switzerland,196,420.2,15,3164,5583,2573,3118,2528,656,29,14,7,8,1,19,0,19,0
Andrea  Tafi,Italy,197,414.3,17,6509,710,770,3102,790,508,27,7,1,19,1,14,0,49,3
Bauke  Mollema,Netherlands,198,412.0,19,5013,5958,2074,724,7340,3982,18,9,2,7,2,23,0,27,1
Ján  Svorada,Czech Republic,199,407.5,20,1338,921,452,7710,344,1897,67,57,3,7,1,24,0,14,0
Bernardo  Ruiz,Spain,200,401.6,15,1002,4466,1004,4564,758,243,38,24,8,6,7,22,1,2,0
Knut  Knudsen,Norway,201,400.3,10,1399,2749,6840,1544,128,313,40,24,7,9,25,11,0,4,0
Pascal  Ackermann,Germany,202,400.0,12,3441,355,68,3826,126,1925,40,29,0,11,1,5,0,3,0
Adolfo  Leoni,Italy,203,398.1,14,3570,577,254,4622,637,230,36,23,1,12,0,10,0,23,1
Daniel  Willems,Belgium,204,397.8,9,3354,1741,3578,3802,384,312,42,25,3,14,5,5,0,13,0
Stuart  O'Grady,Australia,205,397.0,19,4039,2341,2084,7718,987,2008,30,21,3,6,1,24,0,42,1
Heiri  Suter,Switzerland,206,396.8,15,5146,115,42,2867,146,55,31,0,1,30,0,0,0,11,2
Steven  Rooks,Netherlands,207,395.5,15,5454,3707,1905,2788,2694,788,18,9,3,6,2,18,0,27,1
Carlo  Galetti,Italy,208,395.2,19,3688,1670,42,4155,434,0,24,10,5,9,1,9,2,23,0
Thierry  Marie,France,209,395.0,13,1058,2508,7550,1899,252,586,47,34,7,6,27,18,0,12,0
Niki  Terpstra,Netherlands,210,393.8,19,4666,2405,1739,2139,190,1122,22,6,4,12,2,15,0,38,2
Marco  Pantani,Italy,211,392.2,13,836,3162,1469,1406,2780,410,24,20,3,1,0,16,2,11,0
Marcel  Kint,Belgium,212,389.7,14,4378,815,905,3614,334,365,25,8,1,16,0,6,0,16,1
Jean  Alavoine,France,213,388.4,13,1651,2558,0,3572,2088,0,27,22,0,5,0,12,0,14,0
Rolf  Gölz,Germany,214,387.6,8,2964,1663,2042,2280,786,292,39,23,6,10,4,5,0,18,0
Rohan  Dennis,Australia,215,386.1,15,50,2793,6342,222,962,1256,33,22,4,7,22,12,0,0,0
Gastone  Nencini,Italy,216,385.4,11,2066,3459,2166,4440,1044,458,17,13,2,2,0,18,2,14,0
Federico  Ezquerra,Spain,217,384.9,16,1642,2683,789,5019,59,0,47,25,8,14,2,6,0,0,0
Lucien  Petit-Breton,France,218,384.9,12,1191,1680,0,1735,2340,0,19,12,3,4,0,11,2,7,1
Cyrille  Guimard,France,219,381.2,9,2855,1552,914,5604,1550,1268,38,31,2,5,0,6,0,16,0
Adriano  Baffi,Italy,220,379.9,16,2826,975,1116,7570,79,643,55,42,3,10,2,16,0,14,0
Laurent  Brochard,France,221,378.9,19,3469,4648,3831,5153,1372,1228,39,24,6,9,2,18,0,23,0
Michael  Boogerd,Netherlands,222,377.4,13,5184,4281,1108,2770,2596,787,23,11,3,9,0,16,0,27,0
Emilio  Rodríguez,Spain,223,376.8,14,427,3549,600,3622,30,0,36,26,9,1,0,12,1,1,0
Frans  Bonduel,Belgium,224,376.0,17,4610,1794,142,5698,249,0,22,11,1,10,0,4,0,15,1
Pasquale  Fornara,Italy,225,374.4,12,1784,4700,2890,2621,425,105,18,10,6,2,6,18,0,18,0
José  Pérez Francés,Spain,226,374.2,11,1094,4143,1562,5266,934,348,35,25,2,8,1,18,0,4,0
Giacomo  Nizzolo,Italy,227,373.1,15,4741,564,234,5716,184,2146,31,20,1,10,0,12,0,13,0
Domenico  Piemontesi,Italy,228,372.9,15,3188,1340,430,4807,714,50,21,14,0,7,0,15,0,12,1
Louis  Trousselier,France,229,372.9,12,2843,1275,0,1762,2142,0,20,13,1,6,0,10,1,14,1
André  Dierickx,Belgium,230,371.9,14,6597,1468,242,4983,528,66,28,11,3,14,0,4,0,26,0
Denis  Menchov,Russia,231,371.2,17,412,5579,3182,994,3792,800,21,15,4,2,5,21,2,5,0
Andreas  Klöden,Germany,232,370.2,18,413,5670,5592,1061,2438,1359,20,12,7,1,9,18,0,9,0
Giuseppe  Olmo,Italy,233,370.0,9,1829,1000,1066,3392,252,0,28,22,1,5,3,5,0,7,2
Eric  Leman,Belgium,234,368.7,11,5248,274,147,6094,396,502,39,33,0,6,2,9,0,21,3
Michael  Rogers,Australia,235,368.4,17,634,5362,5408,1009,1548,740,22,10,8,4,7,15,0,14,0
Agustín  Tamames,Spain,236,368.0,10,595,3338,2067,3871,234,96,50,43,4,3,1,11,1,1,0
